Disease_ID,Disease_Name,Symptoms,Specialist_Doctor,Disease_Category,Treatment_Plan,Medicines,Severity,Disease_Type,Min_Recovery_Days,Max_Recovery_Days,Prevalence
DIS001,Flu (Influenza),Fever; Cough; Fatigue; Muscle aches,General Physician,Respiratory,Rest; Hydration; Antiviral therapy,Paracetamol; Ibuprofen; Oseltamivir,Moderate,Viral,3,7,Common
DIS002,Common Cold,Sneezing; Runny nose; Sore throat,General Physician,Respiratory,Rest; Fluids; Decongestants,Antihistamine; Paracetamol; Phenylephrine,Mild,Viral,7,10,Very Common
DIS003,Asthma,Shortness of breath; Wheezing; Chest tightness,Pulmonologist,Respiratory,Inhaler therapy; Avoid triggers,Salbutamol; Budesonide; Formoterol,Moderate,Chronic,30,90,Common
DIS004,Bronchitis,Cough with mucus; Fatigue; Chest discomfort,Pulmonologist,Respiratory,Rest; Medication; Steam inhalation,Azithromycin; Amoxicillin; Dextromethorphan,Moderate,Viral/Bacterial,7,14,Common
DIS005,Pneumonia,Fever; Chest pain; Cough with phlegm,Pulmonologist,Respiratory,Antibiotics; Oxygen therapy; Rest,Amoxicillin; Azithromycin; Ceftriaxone,Severe,Bacterial,14,21,Moderate
DIS006,Tuberculosis,Chronic cough; Weight loss; Night sweats,Pulmonologist,Respiratory,Long-term antibiotic therapy (6 months),Rifampicin; Isoniazid; Ethambutol,Severe,Bacterial,180,270,Less Common
DIS007,COVID-19,Fever; Cough; Breathlessness; Loss of smell,General Physician,Respiratory,Isolation; Supportive care; Oxygen,Paracetamol; Ivermectin; Dexamethasone,Moderate,Viral,14,28,Common
DIS008,Sinusitis,Facial pain; Nasal congestion; Headache,ENT Specialist,Respiratory,Steam therapy; Nasal irrigation,Amoxicillin; Clavulanate; Ibuprofen,Mild,Bacterial/Viral,7,14,Common
DIS009,Pleuritis,Sharp chest pain; Difficulty breathing,Pulmonologist,Respiratory,Anti-inflammatories; Treat underlying cause,Ibuprofen; Naproxen; Corticosteroids,Moderate,Inflammatory,14,30,Less Common
DIS010,COPD,Chronic cough; Breathlessness; Wheezing,Pulmonologist,Respiratory,Bronchodilators; Pulmonary rehab; Quit smoking,Tiotropium; Salmeterol; Prednisolone,Severe,Chronic,30,90,Common
DIS011,Hypertension,High blood pressure; Headache; Blurred vision,Cardiologist,Cardiovascular,Lifestyle changes; Medication,Amlodipine; Losartan; Atenolol,Moderate,Chronic,30,90,Very Common
DIS012,Heart Attack,Chest pain; Sweating; Jaw pain; Shortness of breath,Cardiologist,Cardiovascular,Angioplasty; Thrombolysis; ICU care,Aspirin; Clopidogrel; Atorvastatin,Critical,Acute,30,60,Moderate
DIS013,Stroke,Paralysis; Confusion; Vision loss; Speech difficulty,Neurologist,Cardiovascular,Emergency care; Physiotherapy; Rehabilitation,Clopidogrel; Aspirin; Alteplase,Critical,Acute,30,90,Moderate
DIS014,Heart Failure,Breathlessness; Swollen legs; Fatigue,Cardiologist,Cardiovascular,Medication; Low-salt diet; Fluid restriction,Furosemide; Enalapril; Carvedilol,Severe,Chronic,30,90,Moderate
DIS015,Arrhythmia,Irregular heartbeat; Palpitations; Dizziness,Cardiologist,Cardiovascular,Medication; Cardioversion; Pacemaker,Amiodarone; Metoprolol; Digoxin,Moderate,Chronic,30,60,Common
DIS016,Angina,Chest tightness; Pressure; Radiating arm pain,Cardiologist,Cardiovascular,Nitrates; Lifestyle changes; Angioplasty,Nitroglycerine; Aspirin; Bisoprolol,Moderate,Chronic,30,60,Common
DIS017,Peripheral Artery Disease,Leg pain on walking; Cold feet; Numbness,Vascular Surgeon,Cardiovascular,Lifestyle changes; Angioplasty; Surgery,Aspirin; Clopidogrel; Statins,Moderate,Chronic,30,90,Moderate
DIS018,Varicose Veins,Swollen veins; Leg pain; Itching,Vascular Surgeon,Cardiovascular,Compression stockings; Sclerotherapy,Compression stockings; Analgesics; Aspirin,Mild,Chronic,30,60,Common
DIS019,Deep Vein Thrombosis,Leg swelling; Redness; Warmth,Vascular Surgeon,Cardiovascular,Anticoagulants; Compression; Elevation,Heparin; Warfarin; Rivaroxaban,Severe,Acute,14,30,Less Common
DIS020,Atherosclerosis,Chest pain; Leg pain; High cholesterol,Cardiologist,Cardiovascular,Statins; Diet; Exercise; Angioplasty,Atorvastatin; Rosuvastatin; Aspirin,Severe,Chronic,90,180,Common
DIS021,Diabetes Type 1,High blood sugar; Frequent urination; Weight loss,Endocrinologist,Endocrine,Insulin therapy; Diet management,Insulin; Metformin; Glimepiride,Severe,Chronic,90,365,Moderate
DIS022,Diabetes Type 2,Fatigue; Blurred vision; Slow wound healing,Endocrinologist,Endocrine,Diet; Exercise; Oral hypoglycemics,Metformin; Sitagliptin; Dapagliflozin,Moderate,Chronic,90,365,Very Common
DIS023,Thyroid Disorder (Hypo),Weight gain; Fatigue; Cold intolerance,Endocrinologist,Endocrine,Hormone replacement therapy,Levothyroxine; Liothyronine; Selenium,Moderate,Chronic,30,90,Common
DIS024,Thyroid Disorder (Hyper),Weight loss; Sweating; Rapid heartbeat,Endocrinologist,Endocrine,Antithyroid drugs; Radioiodine therapy,Propylthiouracil; Methimazole; Atenolol,Moderate,Chronic,30,90,Common
DIS025,Obesity,Weight gain; Fatigue; Joint pain,General Physician,Endocrine,Diet; Exercise; Behavioral therapy,Orlistat; Metformin; Topiramate,Moderate,Chronic,180,365,Very Common
DIS026,Gout,Joint inflammation; Severe pain; Redness,Orthopedic,Endocrine,Diet control; Medication; Hydration,Allopurinol; Colchicine; Naproxen,Moderate,Chronic,14,30,Common
DIS027,Cushing's Syndrome,Weight gain; Moon face; High BP; Purple stretch marks,Endocrinologist,Endocrine,Cortisol-lowering drugs; Surgery,Metyrapone; Ketoconazole; Mitotane,Severe,Chronic,90,180,Less Common
DIS028,Addison's Disease,Fatigue; Skin darkening; Low BP,Endocrinologist,Endocrine,Hormone replacement,Hydrocortisone; Fludrocortisone; Dexamethasone,Severe,Chronic,90,365,Rare
DIS029,Gastritis,Stomach pain; Nausea; Bloating,Gastroenterologist,Digestive,Antacids; Dietary changes; H. pylori treatment,Omeprazole; Pantoprazole; Ranitidine,Mild,Bacterial/Inflammatory,7,21,Very Common
